edit_id,dataset,executor,input_id,metric,distance,flip
A1,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
A2,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
A3,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
A4,DBPedia,gemini-2.5-pro,,flip_rate,0.0714285714285714,True
A5,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
B1,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
B2,DBPedia,gemini-2.5-pro,,flip_rate,0.1428571428571428,True
B3,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
B4,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
B5,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
B6,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
B7,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
C1,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
C2,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
C3,DBPedia,gemini-2.5-pro,,flip_rate,0.1071428571428571,True
C4,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
C5,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
C6,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
D1,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
D2,DBPedia,gemini-2.5-pro,,flip_rate,0.0357142857142857,True
D3,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
D4,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
E1-r,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
E2-r,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
E3-r,DBPedia,gemini-2.5-pro,,flip_rate,0.0357142857142857,True
E4-r,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
E5-r,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
E6-r,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
E7-r,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
E8-r,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
F1,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
F2,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
F3,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
F4,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
G-X4,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
G-X5,DBPedia,gemini-2.5-pro,,flip_rate,0.1071428571428571,True
G-X7,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
G-X9,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
G-G1,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
G-C2,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
G-C3,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
A1,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0714285714285714,True
A2,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0714285714285714,True
A3,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0714285714285714,True
A4,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0714285714285714,True
A5,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0714285714285714,True
B1,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0357142857142857,True
B2,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0,False
B3,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0357142857142857,True
B4,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0357142857142857,True
B5,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0,False
B6,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0357142857142857,True
B7,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0357142857142857,True
C1,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0357142857142857,True
C2,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0,False
C3,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0357142857142857,True
C4,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0714285714285714,True
C6,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0714285714285714,True
D1,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0714285714285714,True
D2,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0,False
D3,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0357142857142857,True
D4,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0714285714285714,True
E1-r,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0,False
E2-r,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0357142857142857,True
E3-r,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.1071428571428571,True
E4-r,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0357142857142857,True
E6-r,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0357142857142857,True
E7-r,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0,False
E8-r,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0357142857142857,True
F1,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.1428571428571428,True
F3,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0714285714285714,True
F4,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0357142857142857,True
G-X4,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0357142857142857,True
G-X5,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.1071428571428571,True
G-X7,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0357142857142857,True
G-X9,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0357142857142857,True
G-G1,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0,False
G-C3,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0,False
A1,DBPedia,gemini-2.5-flash,,flip_rate,0.0357142857142857,True
A2,DBPedia,gemini-2.5-flash,,flip_rate,0.0,False
A3,DBPedia,gemini-2.5-flash,,flip_rate,0.0357142857142857,True
A4,DBPedia,gemini-2.5-flash,,flip_rate,0.0357142857142857,True
A5,DBPedia,gemini-2.5-flash,,flip_rate,0.0357142857142857,True
B1,DBPedia,gemini-2.5-flash,,flip_rate,0.0357142857142857,True
B2,DBPedia,gemini-2.5-flash,,flip_rate,0.1785714285714285,True
B3,DBPedia,gemini-2.5-flash,,flip_rate,0.0357142857142857,True
B4,DBPedia,gemini-2.5-flash,,flip_rate,0.0357142857142857,True
B5,DBPedia,gemini-2.5-flash,,flip_rate,0.0357142857142857,True
B6,DBPedia,gemini-2.5-flash,,flip_rate,0.0357142857142857,True
B7,DBPedia,gemini-2.5-flash,,flip_rate,0.0357142857142857,True
C1,DBPedia,gemini-2.5-flash,,flip_rate,0.0357142857142857,True
C2,DBPedia,gemini-2.5-flash,,flip_rate,0.0357142857142857,True
C3,DBPedia,gemini-2.5-flash,,flip_rate,0.1428571428571428,True
C4,DBPedia,gemini-2.5-flash,,flip_rate,0.0,False
C6,DBPedia,gemini-2.5-flash,,flip_rate,0.0,False
D1,DBPedia,gemini-2.5-flash,,flip_rate,0.0357142857142857,True
D2,DBPedia,gemini-2.5-flash,,flip_rate,0.0357142857142857,True
D3,DBPedia,gemini-2.5-flash,,flip_rate,0.0,False
D4,DBPedia,gemini-2.5-flash,,flip_rate,0.0357142857142857,True
E1-r,DBPedia,gemini-2.5-flash,,flip_rate,0.0,False
E2-r,DBPedia,gemini-2.5-flash,,flip_rate,0.0357142857142857,True
E3-r,DBPedia,gemini-2.5-flash,,flip_rate,0.0357142857142857,True
E4-r,DBPedia,gemini-2.5-flash,,flip_rate,0.0357142857142857,True
E6-r,DBPedia,gemini-2.5-flash,,flip_rate,0.0357142857142857,True
E7-r,DBPedia,gemini-2.5-flash,,flip_rate,0.0357142857142857,True
E8-r,DBPedia,gemini-2.5-flash,,flip_rate,0.0357142857142857,True
F1,DBPedia,gemini-2.5-flash,,flip_rate,0.0357142857142857,True
F3,DBPedia,gemini-2.5-flash,,flip_rate,0.0357142857142857,True
F4,DBPedia,gemini-2.5-flash,,flip_rate,0.0357142857142857,True
G-X4,DBPedia,gemini-2.5-flash,,flip_rate,0.0357142857142857,True
G-X5,DBPedia,gemini-2.5-flash,,flip_rate,0.0357142857142857,True
G-X7,DBPedia,gemini-2.5-flash,,flip_rate,0.0,False
G-X9,DBPedia,gemini-2.5-flash,,flip_rate,0.0357142857142857,True
G-G1,DBPedia,gemini-2.5-flash,,flip_rate,0.0357142857142857,True
G-C3,DBPedia,gemini-2.5-flash,,flip_rate,0.0357142857142857,True
A1,TREC,gemini-2.5-pro,,flip_rate,0.0333333333333333,True
A2,TREC,gemini-2.5-pro,,flip_rate,0.2666666666666666,True
A3,TREC,gemini-2.5-pro,,flip_rate,0.0333333333333333,True
A4,TREC,gemini-2.5-pro,,flip_rate,0.1,True
A5,TREC,gemini-2.5-pro,,flip_rate,0.0333333333333333,True
B1,TREC,gemini-2.5-pro,,flip_rate,0.0333333333333333,True
B2,TREC,gemini-2.5-pro,,flip_rate,0.1333333333333333,True
B3,TREC,gemini-2.5-pro,,flip_rate,0.0666666666666666,True
B4,TREC,gemini-2.5-pro,,flip_rate,0.0333333333333333,True
B5,TREC,gemini-2.5-pro,,flip_rate,0.0333333333333333,True
B6,TREC,gemini-2.5-pro,,flip_rate,0.0333333333333333,True
B7,TREC,gemini-2.5-pro,,flip_rate,0.2,True
C1,TREC,gemini-2.5-pro,,flip_rate,0.0333333333333333,True
C2,TREC,gemini-2.5-pro,,flip_rate,0.0333333333333333,True
C3,TREC,gemini-2.5-pro,,flip_rate,0.1,True
C4,TREC,gemini-2.5-pro,,flip_rate,0.0333333333333333,True
C6,TREC,gemini-2.5-pro,,flip_rate,0.1333333333333333,True
D1,TREC,gemini-2.5-pro,,flip_rate,0.0,False
D2,TREC,gemini-2.5-pro,,flip_rate,0.0,False
D3,TREC,gemini-2.5-pro,,flip_rate,0.0666666666666666,True
D4,TREC,gemini-2.5-pro,,flip_rate,0.2666666666666666,True
E1-r,TREC,gemini-2.5-pro,,flip_rate,0.0,False
E2-r,TREC,gemini-2.5-pro,,flip_rate,0.0,False
E3-r,TREC,gemini-2.5-pro,,flip_rate,0.0333333333333333,True
E4-r,TREC,gemini-2.5-pro,,flip_rate,0.0666666666666666,True
E6-r,TREC,gemini-2.5-pro,,flip_rate,0.1,True
E7-r,TREC,gemini-2.5-pro,,flip_rate,0.0333333333333333,True
E8-r,TREC,gemini-2.5-pro,,flip_rate,0.0,False
F1,TREC,gemini-2.5-pro,,flip_rate,0.0,False
F3,TREC,gemini-2.5-pro,,flip_rate,0.1,True
F4,TREC,gemini-2.5-pro,,flip_rate,0.0333333333333333,True
G-X4,TREC,gemini-2.5-pro,,flip_rate,0.1333333333333333,True
G-X5,TREC,gemini-2.5-pro,,flip_rate,0.5333333333333333,True
G-X7,TREC,gemini-2.5-pro,,flip_rate,0.2333333333333333,True
G-X9,TREC,gemini-2.5-pro,,flip_rate,0.2666666666666666,True
G-G1,TREC,gemini-2.5-pro,,flip_rate,0.0333333333333333,True
G-C3,TREC,gemini-2.5-pro,,flip_rate,0.4,True
A1,TREC,gemini-2.5-flash-lite,,flip_rate,0.3333333333333333,True
A2,TREC,gemini-2.5-flash-lite,,flip_rate,0.3666666666666666,True
A3,TREC,gemini-2.5-flash-lite,,flip_rate,0.3333333333333333,True
A4,TREC,gemini-2.5-flash-lite,,flip_rate,0.3333333333333333,True
A5,TREC,gemini-2.5-flash-lite,,flip_rate,0.3333333333333333,True
B1,TREC,gemini-2.5-flash-lite,,flip_rate,0.2666666666666666,True
B2,TREC,gemini-2.5-flash-lite,,flip_rate,0.2666666666666666,True
B3,TREC,gemini-2.5-flash-lite,,flip_rate,0.2666666666666666,True
B4,TREC,gemini-2.5-flash-lite,,flip_rate,0.2666666666666666,True
B5,TREC,gemini-2.5-flash-lite,,flip_rate,0.2666666666666666,True
B6,TREC,gemini-2.5-flash-lite,,flip_rate,0.3,True
B7,TREC,gemini-2.5-flash-lite,,flip_rate,0.2666666666666666,True
C1,TREC,gemini-2.5-flash-lite,,flip_rate,0.2666666666666666,True
C2,TREC,gemini-2.5-flash-lite,,flip_rate,0.3666666666666666,True
C3,TREC,gemini-2.5-flash-lite,,flip_rate,0.3666666666666666,True
C4,TREC,gemini-2.5-flash-lite,,flip_rate,0.2666666666666666,True
C6,TREC,gemini-2.5-flash-lite,,flip_rate,0.3666666666666666,True
D1,TREC,gemini-2.5-flash-lite,,flip_rate,0.3,True
D2,TREC,gemini-2.5-flash-lite,,flip_rate,0.2666666666666666,True
D3,TREC,gemini-2.5-flash-lite,,flip_rate,0.3,True
D4,TREC,gemini-2.5-flash-lite,,flip_rate,0.4,True
E1-r,TREC,gemini-2.5-flash-lite,,flip_rate,0.3,True
E2-r,TREC,gemini-2.5-flash-lite,,flip_rate,0.2333333333333333,True
E3-r,TREC,gemini-2.5-flash-lite,,flip_rate,0.3,True
E4-r,TREC,gemini-2.5-flash-lite,,flip_rate,0.2666666666666666,True
E6-r,TREC,gemini-2.5-flash-lite,,flip_rate,0.3333333333333333,True
E7-r,TREC,gemini-2.5-flash-lite,,flip_rate,0.2666666666666666,True
E8-r,TREC,gemini-2.5-flash-lite,,flip_rate,0.3333333333333333,True
F1,TREC,gemini-2.5-flash-lite,,flip_rate,0.2666666666666666,True
F3,TREC,gemini-2.5-flash-lite,,flip_rate,0.3,True
F4,TREC,gemini-2.5-flash-lite,,flip_rate,0.3,True
G-X4,TREC,gemini-2.5-flash-lite,,flip_rate,0.3333333333333333,True
G-X5,TREC,gemini-2.5-flash-lite,,flip_rate,0.6,True
G-X7,TREC,gemini-2.5-flash-lite,,flip_rate,0.4,True
G-X9,TREC,gemini-2.5-flash-lite,,flip_rate,0.3333333333333333,True
G-G1,TREC,gemini-2.5-flash-lite,,flip_rate,0.3666666666666666,True
G-C3,TREC,gemini-2.5-flash-lite,,flip_rate,0.4,True
A1,TREC,gemini-2.5-flash,,flip_rate,0.1666666666666666,True
A2,TREC,gemini-2.5-flash,,flip_rate,0.2666666666666666,True
A3,TREC,gemini-2.5-flash,,flip_rate,0.0333333333333333,True
A4,TREC,gemini-2.5-flash,,flip_rate,0.0666666666666666,True
A5,TREC,gemini-2.5-flash,,flip_rate,0.0333333333333333,True
B1,TREC,gemini-2.5-flash,,flip_rate,0.1333333333333333,True
B2,TREC,gemini-2.5-flash,,flip_rate,0.0666666666666666,True
B3,TREC,gemini-2.5-flash,,flip_rate,0.0666666666666666,True
B4,TREC,gemini-2.5-flash,,flip_rate,0.0666666666666666,True
B5,TREC,gemini-2.5-flash,,flip_rate,0.0333333333333333,True
B6,TREC,gemini-2.5-flash,,flip_rate,0.1333333333333333,True
B7,TREC,gemini-2.5-flash,,flip_rate,0.2333333333333333,True
C1,TREC,gemini-2.5-flash,,flip_rate,0.0666666666666666,True
C2,TREC,gemini-2.5-flash,,flip_rate,0.1333333333333333,True
C3,TREC,gemini-2.5-flash,,flip_rate,0.0333333333333333,True
C4,TREC,gemini-2.5-flash,,flip_rate,0.1666666666666666,True
C6,TREC,gemini-2.5-flash,,flip_rate,0.2,True
D1,TREC,gemini-2.5-flash,,flip_rate,0.0333333333333333,True
D2,TREC,gemini-2.5-flash,,flip_rate,0.0333333333333333,True
D3,TREC,gemini-2.5-flash,,flip_rate,0.0333333333333333,True
D4,TREC,gemini-2.5-flash,,flip_rate,0.1666666666666666,True
E1-r,TREC,gemini-2.5-flash,,flip_rate,0.1,True
E2-r,TREC,gemini-2.5-flash,,flip_rate,0.1,True
E3-r,TREC,gemini-2.5-flash,,flip_rate,0.1,True
E4-r,TREC,gemini-2.5-flash,,flip_rate,0.0666666666666666,True
E6-r,TREC,gemini-2.5-flash,,flip_rate,0.1,True
E7-r,TREC,gemini-2.5-flash,,flip_rate,0.1,True
E8-r,TREC,gemini-2.5-flash,,flip_rate,0.0666666666666666,True
F1,TREC,gemini-2.5-flash,,flip_rate,0.0666666666666666,True
F3,TREC,gemini-2.5-flash,,flip_rate,0.2,True
F4,TREC,gemini-2.5-flash,,flip_rate,0.2333333333333333,True
G-X4,TREC,gemini-2.5-flash,,flip_rate,0.0333333333333333,True
G-X5,TREC,gemini-2.5-flash,,flip_rate,0.1666666666666666,True
G-X7,TREC,gemini-2.5-flash,,flip_rate,0.1333333333333333,True
G-X9,TREC,gemini-2.5-flash,,flip_rate,0.1333333333333333,True
G-G1,TREC,gemini-2.5-flash,,flip_rate,0.1,True
G-C3,TREC,gemini-2.5-flash,,flip_rate,0.6333333333333333,True
