dataset,executor,input_id,median_variant_distance,threshold,is_stable
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0714285714285714,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.1428571428571428,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.1071428571428571,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0357142857142857,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0357142857142857,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.1071428571428571,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-pro,28,0.0,0.0934056404454261,True
DBPedia,gemini-2.5-flash-lite,26,0.0384615384615384,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0384615384615384,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0384615384615384,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0384615384615384,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0384615384615384,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0384615384615384,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0384615384615384,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0384615384615384,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0384615384615384,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0384615384615384,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0384615384615384,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.1153846153846153,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0384615384615384,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.1153846153846153,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0,0.1005021235196755,True
DBPedia,gemini-2.5-flash-lite,26,0.0,0.1005021235196755,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.1851851851851851,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.1111111111111111,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
DBPedia,gemini-2.5-flash,27,0.0,0.096824060185635,True
TREC,gemini-2.5-pro,26,0.0384615384615384,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.2307692307692307,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.0384615384615384,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.0769230769230769,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.0384615384615384,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.0,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.0384615384615384,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.0,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.0,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.0,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.0,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.1538461538461538,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.0,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.0,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.0384615384615384,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.0384615384615384,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.1538461538461538,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.0,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.0,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.0384615384615384,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.2307692307692307,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.0,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.0,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.0,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.0384615384615384,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.0384615384615384,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.0384615384615384,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.0,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.0,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.0769230769230769,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.0,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.1153846153846153,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.5,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.2692307692307692,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.1923076923076923,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.0,0.1005021235196755,True
TREC,gemini-2.5-pro,26,0.3846153846153846,0.1005021235196755,True
TREC,gemini-2.5-flash-lite,13,0.2307692307692307,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.3846153846153846,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.0,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.0769230769230769,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.0,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.0,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.0,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.0,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.0,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.0,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.0,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.0769230769230769,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.0,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.0769230769230769,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.0769230769230769,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.0,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.2307692307692307,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.0,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.0,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.0,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.3846153846153846,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.0,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.0769230769230769,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.0,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.0,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.0,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.0,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.0,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.0,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.2307692307692307,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.0,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.0,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.3846153846153846,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.3846153846153846,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.0769230769230769,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.0,0.1984972983120161,True
TREC,gemini-2.5-flash-lite,13,0.1538461538461538,0.1984972983120161,True
TREC,gemini-2.5-flash,21,0.0952380952380952,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.238095238095238,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.0,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.0,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.0,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.0,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.0,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.0476190476190476,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.0,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.0,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.0,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.238095238095238,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.0,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.0476190476190476,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.0,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.0476190476190476,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.1428571428571428,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.0,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.0,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.0,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.1428571428571428,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.0,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.0,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.0,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.0,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.0952380952380952,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.0,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.0,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.0,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.1428571428571428,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.1428571428571428,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.0,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.0476190476190476,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.1428571428571428,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.0952380952380952,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.0,0.1240645533333493,True
TREC,gemini-2.5-flash,21,0.6190476190476191,0.1240645533333493,True
